occupation,language,word_form_type,translation_id,translation
dancer,english,male_form,t1,dancer
nurse,english,male_form,t1,nurse
singer,english,male_form,t1,singer
cleaner,english,male_form,t1,cleaner
secretary,english,male_form,t1,secretary
waiter,english,male_form,t1,waiter
journalist,english,male_form,t1,journalist
baker,english,male_form,t1,baker
author,english,male_form,t1,author
athlete,english,male_form,t1,athlete
lawyer,english,male_form,t1,lawyer
doctor/physician,english,male_form,t1,doctor
professor,english,male_form,t1,professor
governor,english,male_form,t1,governor
judge,english,male_form,t1,judge
sailor,english,male_form,t1,sailor
postman/postwoman,english,male_form,t1,postman
mechanic,english,male_form,t1,mechanic
hunter,english,male_form,t1,hunter
firefighter,english,male_form,t1,firefighter
dancer,arabic,male_form,t1,راقصة
nurse,arabic,male_form,t1,ممرضة
singer,arabic,male_form,t1,مطرب
cleaner,arabic,male_form,t1,منظف
secretary,arabic,male_form,t1,سكرتير
waiter,arabic,male_form,t1,نادل
journalist,arabic,male_form,t1,صحافي
baker,arabic,male_form,t1,خباز
author,arabic,male_form,t1,مؤلف
athlete,arabic,male_form,t1,رياضي
lawyer,arabic,male_form,t1,المحامية
doctor/physician,arabic,male_form,t1,طبيب
professor,arabic,male_form,t1,دكتور_جامعى
governor,arabic,male_form,t1,محافظ_حاكم
judge,arabic,male_form,t1,القاضي
sailor,arabic,male_form,t1,بحار
postman/postwoman,arabic,male_form,t1,ساعي_البريد
mechanic,arabic,male_form,t1,الميكانيكي
hunter,arabic,male_form,t1,صياد
firefighter,arabic,male_form,t1,رجال_الاطفاء
dancer,danish,male_form,t1,danser
nurse,danish,male_form,t1,sygeplejer
singer,danish,male_form,t1,sanger
cleaner,danish,male_form,t1,rengøringsdame
secretary,danish,male_form,t1,sektratær
waiter,danish,male_form,t1,tjener
journalist,danish,male_form,t1,journalist
baker,danish,male_form,t1,bager
author,danish,male_form,t1,forfatter
athlete,danish,male_form,t1,atlet
lawyer,danish,male_form,t1,advokat
doctor/physician,danish,male_form,t1,læge
professor,danish,male_form,t1,professor
governor,danish,male_form,t1,guvernør
judge,danish,male_form,t1,dommer
sailor,danish,male_form,t1,sejler
postman/postwoman,danish,male_form,t1,postbud
mechanic,danish,male_form,t1,mekaniker
hunter,danish,male_form,t1,jæger
firefighter,danish,male_form,t1,brandmand
dancer,spanish,male_form,t1,bailarín
nurse,spanish,male_form,t1,enfermero
singer,spanish,male_form,t1,cantante
cleaner,spanish,male_form,t1,limpiador
secretary,spanish,male_form,t1,secretario
waiter,spanish,male_form,t1,camarero
journalist,spanish,male_form,t1,periodista
baker,spanish,male_form,t1,panadero
author,spanish,male_form,t1,autor
athlete,spanish,male_form,t1,atleta
lawyer,spanish,male_form,t1,abogado
doctor/physician,spanish,male_form,t1,doctor
professor,spanish,male_form,t1,profesor
governor,spanish,male_form,t1,gobernador
judge,spanish,male_form,t1,juez
sailor,spanish,male_form,t1,marinero
postman/postwoman,spanish,male_form,t1,cartero
mechanic,spanish,male_form,t1,mecánico
hunter,spanish,male_form,t1,cazador
firefighter,spanish,male_form,t1,bombero
dancer,farsi,male_form,t1,رقاص،_رقصگر،_رامشگر
nurse,farsi,male_form,t1,پرستار
singer,farsi,male_form,t1,خواننده
cleaner,farsi,male_form,t1,کلفت_خانه
secretary,farsi,male_form,t1,دبیر
waiter,farsi,male_form,t1,پیشخدمت
journalist,farsi,male_form,t1,روزنامه_نگار
baker,farsi,male_form,t1,نانوا
author,farsi,male_form,t1,نگارنده
athlete,farsi,male_form,t1,ورزشکار
lawyer,farsi,male_form,t1,وکیل_دادگستری
doctor/physician,farsi,male_form,t1,پزشک
professor,farsi,male_form,t1,استاد
governor,farsi,male_form,t1,استاندار
judge,farsi,male_form,t1,دادرس
sailor,farsi,male_form,t1,ملوان
postman/postwoman,farsi,male_form,t1,نامه_رسان
mechanic,farsi,male_form,t1,مکانیک
hunter,farsi,male_form,t1,شکارچی
firefighter,farsi,male_form,t1,مامور_آتش_نشانی
dancer,finnish,male_form,t1,tanssija
nurse,finnish,male_form,t1,sairaanhoitaja
singer,finnish,male_form,t1,laulaja
cleaner,finnish,male_form,t1,puhdistusaine
secretary,finnish,male_form,t1,ministeri
waiter,finnish,male_form,t1,tarjoilija
journalist,finnish,male_form,t1,toimittaja
baker,finnish,male_form,t1,leipuri
author,finnish,male_form,t1,tekijä
athlete,finnish,male_form,t1,atleetti
lawyer,finnish,male_form,t1,asianajaja
doctor/physician,finnish,male_form,t1,lääkäri
professor,finnish,male_form,t1,opettaja
governor,finnish,male_form,t1,kuvernööri
judge,finnish,male_form,t1,tuomari
sailor,finnish,male_form,t1,merimies
postman/postwoman,finnish,male_form,t1,postinjakaja
mechanic,finnish,male_form,t1,mekaanikko
hunter,finnish,male_form,t1,metsästäjä
firefighter,finnish,male_form,t1,palomies
dancer,french,male_form,t1,danseur
nurse,french,male_form,t1,infirmier
singer,french,male_form,t1,chanteur
cleaner,french,male_form,t1,homme_de_ménage
secretary,french,male_form,t1,secrétaire
waiter,french,male_form,t1,serveur
journalist,french,male_form,t1,journaliste
baker,french,male_form,t1,boulanger
author,french,male_form,t1,auteur
athlete,french,male_form,t1,athlète
lawyer,french,male_form,t1,avocat
doctor/physician,french,male_form,t1,docteur
professor,french,male_form,t1,professeur
governor,french,male_form,t1,directeur
judge,french,male_form,t1,juge
sailor,french,male_form,t1,pêcheur
postman/postwoman,french,male_form,t1,facteur
mechanic,french,male_form,t1,mécanicien
hunter,french,male_form,t1,chasseur
firefighter,french,male_form,t1,pompier
dancer,hebrew,male_form,t1,רקדן
nurse,hebrew,male_form,t1,אח
singer,hebrew,male_form,t1,זמר
cleaner,hebrew,male_form,t1,מנקה
secretary,hebrew,male_form,t1,מזכיר
waiter,hebrew,male_form,t1,מלצר
journalist,hebrew,male_form,t1,עיתונאי
